Date,SPX
1990-02-01 00:00:00,328.79
1990-02-02 00:00:00,330.92
1990-02-05 00:00:00,331.85
1990-02-06 00:00:00,329.66
1990-02-07 00:00:00,333.75
1990-02-08 00:00:00,332.96
1990-02-09 00:00:00,333.62
1990-02-12 00:00:00,330.08
1990-02-13 00:00:00,331.02
1990-02-14 00:00:00,332.01
1990-02-15 00:00:00,334.89
1990-02-16 00:00:00,332.72
1990-02-20 00:00:00,327.99
1990-02-21 00:00:00,327.67
1990-02-22 00:00:00,325.7
1990-02-23 00:00:00,324.15
1990-02-26 00:00:00,328.67
1990-02-27 00:00:00,330.26
1990-02-28 00:00:00,331.89
1990-03-01 00:00:00,332.74
1990-03-02 00:00:00,335.54
1990-03-05 00:00:00,333.74
1990-03-06 00:00:00,337.93
1990-03-07 00:00:00,336.95
1990-03-08 00:00:00,340.27
1990-03-09 00:00:00,337.93
1990-03-12 00:00:00,338.67
1990-03-13 00:00:00,336.0
1990-03-14 00:00:00,336.87
1990-03-15 00:00:00,338.07
1990-03-16 00:00:00,341.91
1990-03-19 00:00:00,343.53
1990-03-20 00:00:00,341.57
1990-03-21 00:00:00,339.74
1990-03-22 00:00:00,335.69
1990-03-23 00:00:00,337.22
1990-03-26 00:00:00,337.63
1990-03-27 00:00:00,341.5
1990-03-28 00:00:00,342.0
1990-03-29 00:00:00,340.79
1990-03-30 00:00:00,339.94
1990-04-02 00:00:00,338.7
1990-04-03 00:00:00,343.64
1990-04-04 00:00:00,341.09
1990-04-05 00:00:00,340.73
1990-04-06 00:00:00,340.08
1990-04-09 00:00:00,341.37
1990-04-10 00:00:00,342.07
1990-04-11 00:00:00,341.92
1990-04-12 00:00:00,344.34
1990-04-16 00:00:00,344.74
1990-04-17 00:00:00,344.68
1990-04-18 00:00:00,340.72
1990-04-19 00:00:00,338.09
1990-04-20 00:00:00,335.12
1990-04-23 00:00:00,331.05
1990-04-24 00:00:00,330.36
1990-04-25 00:00:00,332.03
1990-04-26 00:00:00,332.92
1990-04-27 00:00:00,329.11
1990-04-30 00:00:00,330.8
1990-05-01 00:00:00,332.25
1990-05-02 00:00:00,334.48
1990-05-03 00:00:00,335.57
1990-05-04 00:00:00,338.39
1990-05-07 00:00:00,340.53
1990-05-08 00:00:00,342.01
1990-05-09 00:00:00,342.86
1990-05-10 00:00:00,343.82
1990-05-11 00:00:00,352.0
1990-05-14 00:00:00,354.75
1990-05-15 00:00:00,354.28
1990-05-16 00:00:00,354.0
1990-05-17 00:00:00,354.47
1990-05-18 00:00:00,354.64
1990-05-21 00:00:00,358.0
1990-05-22 00:00:00,358.43
1990-05-23 00:00:00,359.29
1990-05-24 00:00:00,358.41
1990-05-25 00:00:00,354.58
1990-05-29 00:00:00,360.65
1990-05-30 00:00:00,360.86
1990-05-31 00:00:00,361.23
1990-06-01 00:00:00,363.16
1990-06-04 00:00:00,367.4
1990-06-05 00:00:00,366.64
1990-06-06 00:00:00,364.96
1990-06-07 00:00:00,363.15
1990-06-08 00:00:00,358.71
1990-06-11 00:00:00,361.63
1990-06-12 00:00:00,366.25
1990-06-13 00:00:00,364.9
1990-06-14 00:00:00,362.9
1990-06-15 00:00:00,362.91
1990-06-18 00:00:00,356.88
1990-06-19 00:00:00,358.47
1990-06-20 00:00:00,359.1
1990-06-21 00:00:00,360.47
1990-06-22 00:00:00,355.43
1990-06-25 00:00:00,352.31
1990-06-26 00:00:00,352.06
1990-06-27 00:00:00,355.14
1990-06-28 00:00:00,357.63
1990-06-29 00:00:00,358.02
1990-07-02 00:00:00,359.54
1990-07-03 00:00:00,360.16
1990-07-05 00:00:00,355.68
1990-07-06 00:00:00,358.42
1990-07-09 00:00:00,359.52
1990-07-10 00:00:00,356.49
1990-07-11 00:00:00,361.23
1990-07-12 00:00:00,365.44
1990-07-13 00:00:00,367.31
1990-07-16 00:00:00,368.95
1990-07-17 00:00:00,367.52
1990-07-18 00:00:00,364.22
1990-07-19 00:00:00,365.32
1990-07-20 00:00:00,361.61
1990-07-23 00:00:00,355.31
1990-07-24 00:00:00,355.79
1990-07-25 00:00:00,357.09
1990-07-26 00:00:00,355.91
1990-07-27 00:00:00,353.44
1990-07-30 00:00:00,355.55
1990-07-31 00:00:00,356.15
1990-08-01 00:00:00,355.52
1990-08-02 00:00:00,351.48
1990-08-03 00:00:00,344.86
1990-08-06 00:00:00,334.43
1990-08-07 00:00:00,334.83
1990-08-08 00:00:00,338.35
1990-08-09 00:00:00,339.94
1990-08-10 00:00:00,335.52
1990-08-13 00:00:00,338.84
1990-08-14 00:00:00,339.39
1990-08-15 00:00:00,340.06
1990-08-16 00:00:00,332.39
1990-08-17 00:00:00,327.83
1990-08-20 00:00:00,328.51
1990-08-21 00:00:00,321.86
1990-08-22 00:00:00,316.55
1990-08-23 00:00:00,307.06
1990-08-24 00:00:00,311.51
1990-08-27 00:00:00,321.44
1990-08-28 00:00:00,321.34
1990-08-29 00:00:00,324.19
1990-08-30 00:00:00,318.71
1990-08-31 00:00:00,322.56
1990-09-04 00:00:00,323.09
1990-09-05 00:00:00,324.39
1990-09-06 00:00:00,320.46
1990-09-07 00:00:00,323.4
1990-09-10 00:00:00,321.63
1990-09-11 00:00:00,321.04
1990-09-12 00:00:00,322.54
1990-09-13 00:00:00,318.65
1990-09-14 00:00:00,316.83
1990-09-17 00:00:00,317.77
1990-09-18 00:00:00,318.6
1990-09-19 00:00:00,316.6
1990-09-20 00:00:00,311.48
1990-09-21 00:00:00,311.32
1990-09-24 00:00:00,304.59
1990-09-25 00:00:00,308.26
1990-09-26 00:00:00,305.06
1990-09-27 00:00:00,300.97
1990-09-28 00:00:00,306.05
1990-10-01 00:00:00,314.94
1990-10-02 00:00:00,315.21
1990-10-03 00:00:00,311.4
1990-10-04 00:00:00,312.69
1990-10-05 00:00:00,311.5
1990-10-08 00:00:00,313.48
1990-10-09 00:00:00,305.1
1990-10-10 00:00:00,300.39
1990-10-11 00:00:00,295.46
1990-10-12 00:00:00,300.03
1990-10-15 00:00:00,303.23
1990-10-16 00:00:00,298.92
1990-10-17 00:00:00,298.76
1990-10-18 00:00:00,305.74
1990-10-19 00:00:00,312.48
1990-10-22 00:00:00,314.76
1990-10-23 00:00:00,312.36
1990-10-24 00:00:00,312.6
1990-10-25 00:00:00,310.17
1990-10-26 00:00:00,304.71
1990-10-29 00:00:00,301.88
1990-10-30 00:00:00,304.06
1990-10-31 00:00:00,304.0
1990-11-01 00:00:00,307.02
1990-11-02 00:00:00,311.85
1990-11-05 00:00:00,314.59
1990-11-06 00:00:00,311.62
1990-11-07 00:00:00,306.01
1990-11-08 00:00:00,307.61
1990-11-09 00:00:00,313.74
1990-11-12 00:00:00,319.48
1990-11-13 00:00:00,317.67
1990-11-14 00:00:00,320.4
1990-11-15 00:00:00,317.02
1990-11-16 00:00:00,317.12
1990-11-19 00:00:00,319.34
1990-11-20 00:00:00,315.31
1990-11-21 00:00:00,316.03
1990-11-23 00:00:00,315.1
1990-11-26 00:00:00,316.51
1990-11-27 00:00:00,318.1
1990-11-28 00:00:00,317.95
1990-11-29 00:00:00,316.42
1990-11-30 00:00:00,322.22
1990-12-03 00:00:00,324.1
1990-12-04 00:00:00,326.35
1990-12-05 00:00:00,329.92
1990-12-06 00:00:00,329.07
1990-12-07 00:00:00,327.75
1990-12-10 00:00:00,328.89
1990-12-11 00:00:00,326.44
1990-12-12 00:00:00,330.19
1990-12-13 00:00:00,329.34
1990-12-14 00:00:00,326.82
1990-12-17 00:00:00,326.02
1990-12-18 00:00:00,330.05
1990-12-19 00:00:00,330.2
1990-12-20 00:00:00,330.12
1990-12-21 00:00:00,331.75
1990-12-24 00:00:00,329.9
1990-12-26 00:00:00,330.85
1990-12-27 00:00:00,328.29
1990-12-28 00:00:00,328.72
1990-12-31 00:00:00,330.22
1991-01-02 00:00:00,326.45
1991-01-03 00:00:00,321.91
1991-01-04 00:00:00,321.0
1991-01-07 00:00:00,315.44
1991-01-08 00:00:00,314.9
1991-01-09 00:00:00,311.49
1991-01-10 00:00:00,314.53
1991-01-11 00:00:00,315.23
1991-01-14 00:00:00,312.49
1991-01-15 00:00:00,313.73
1991-01-16 00:00:00,316.17
1991-01-17 00:00:00,327.97
1991-01-18 00:00:00,332.23
1991-01-21 00:00:00,331.06
1991-01-22 00:00:00,328.31
1991-01-23 00:00:00,330.21
1991-01-24 00:00:00,334.78
1991-01-25 00:00:00,336.07
1991-01-28 00:00:00,336.03
1991-01-29 00:00:00,335.84
1991-01-30 00:00:00,340.91
1991-01-31 00:00:00,343.93
1991-02-01 00:00:00,343.05
1991-02-04 00:00:00,348.34
1991-02-05 00:00:00,351.26
1991-02-06 00:00:00,358.07
1991-02-07 00:00:00,356.52
1991-02-08 00:00:00,359.35
1991-02-11 00:00:00,368.58
1991-02-12 00:00:00,365.5
1991-02-13 00:00:00,369.02
1991-02-14 00:00:00,364.22
1991-02-15 00:00:00,369.06
1991-02-19 00:00:00,369.39
1991-02-20 00:00:00,365.14
1991-02-21 00:00:00,364.97
1991-02-22 00:00:00,365.65
1991-02-25 00:00:00,367.26
1991-02-26 00:00:00,362.81
1991-02-27 00:00:00,367.74
1991-02-28 00:00:00,367.07
1991-03-01 00:00:00,370.47
1991-03-04 00:00:00,369.33
1991-03-05 00:00:00,376.72
1991-03-06 00:00:00,376.17
1991-03-07 00:00:00,375.91
1991-03-08 00:00:00,374.95
1991-03-11 00:00:00,372.96
1991-03-12 00:00:00,370.03
1991-03-13 00:00:00,374.57
1991-03-14 00:00:00,373.5
1991-03-15 00:00:00,373.59
1991-03-18 00:00:00,372.11
1991-03-19 00:00:00,366.59
1991-03-20 00:00:00,367.92
1991-03-21 00:00:00,366.58
1991-03-22 00:00:00,367.48
1991-03-25 00:00:00,369.83
1991-03-26 00:00:00,376.3
1991-03-27 00:00:00,375.35
1991-03-28 00:00:00,375.22
1991-04-01 00:00:00,371.3
1991-04-02 00:00:00,379.5
1991-04-03 00:00:00,378.94
1991-04-04 00:00:00,379.77
1991-04-05 00:00:00,375.36
1991-04-08 00:00:00,378.66
1991-04-09 00:00:00,373.56
1991-04-10 00:00:00,373.15
1991-04-11 00:00:00,377.63
1991-04-12 00:00:00,380.4
1991-04-15 00:00:00,381.19
1991-04-16 00:00:00,387.62
1991-04-17 00:00:00,390.45
1991-04-18 00:00:00,388.46
1991-04-19 00:00:00,384.2
1991-04-22 00:00:00,380.95
1991-04-23 00:00:00,381.76
1991-04-24 00:00:00,382.76
1991-04-25 00:00:00,379.25
1991-04-26 00:00:00,379.02
1991-04-29 00:00:00,373.66
1991-04-30 00:00:00,375.34
1991-05-01 00:00:00,380.29
1991-05-02 00:00:00,380.52
1991-05-03 00:00:00,380.8
1991-05-06 00:00:00,380.08
1991-05-07 00:00:00,377.32
1991-05-08 00:00:00,378.51
1991-05-09 00:00:00,383.25
1991-05-10 00:00:00,375.74
1991-05-13 00:00:00,376.76
1991-05-14 00:00:00,371.62
1991-05-15 00:00:00,368.57
1991-05-16 00:00:00,372.19
1991-05-17 00:00:00,372.39
1991-05-20 00:00:00,372.28
1991-05-21 00:00:00,375.35
1991-05-22 00:00:00,376.19
1991-05-23 00:00:00,374.96
1991-05-24 00:00:00,377.49
1991-05-28 00:00:00,381.94
1991-05-29 00:00:00,382.79
1991-05-30 00:00:00,386.96
1991-05-31 00:00:00,389.83
1991-06-03 00:00:00,388.06
1991-06-04 00:00:00,387.74
1991-06-05 00:00:00,385.09
1991-06-06 00:00:00,383.63
1991-06-07 00:00:00,379.43
1991-06-10 00:00:00,378.57
1991-06-11 00:00:00,381.05
1991-06-12 00:00:00,376.65
1991-06-13 00:00:00,377.63
1991-06-14 00:00:00,382.29
1991-06-17 00:00:00,380.13
1991-06-18 00:00:00,378.59
1991-06-19 00:00:00,375.09
1991-06-20 00:00:00,375.42
1991-06-21 00:00:00,377.75
1991-06-24 00:00:00,370.94
1991-06-25 00:00:00,370.65
1991-06-26 00:00:00,371.59
1991-06-27 00:00:00,374.4
1991-06-28 00:00:00,371.16
1991-07-01 00:00:00,377.92
1991-07-02 00:00:00,377.47
1991-07-03 00:00:00,373.33
1991-07-05 00:00:00,374.08
1991-07-08 00:00:00,377.94
1991-07-09 00:00:00,376.11
1991-07-10 00:00:00,375.74
1991-07-11 00:00:00,376.97
1991-07-12 00:00:00,380.25
1991-07-15 00:00:00,382.39
1991-07-16 00:00:00,381.54
1991-07-17 00:00:00,381.18
1991-07-18 00:00:00,385.37
1991-07-19 00:00:00,384.22
1991-07-22 00:00:00,382.88
1991-07-23 00:00:00,379.42
1991-07-24 00:00:00,378.64
1991-07-25 00:00:00,380.96
1991-07-26 00:00:00,380.93
1991-07-29 00:00:00,383.15
1991-07-30 00:00:00,386.69
1991-07-31 00:00:00,387.81
1991-08-01 00:00:00,387.12
1991-08-02 00:00:00,387.18
1991-08-05 00:00:00,385.06
1991-08-06 00:00:00,390.62
1991-08-07 00:00:00,390.56
1991-08-08 00:00:00,389.32
1991-08-09 00:00:00,387.12
1991-08-12 00:00:00,388.02
1991-08-13 00:00:00,389.62
1991-08-14 00:00:00,389.9
1991-08-15 00:00:00,389.33
1991-08-16 00:00:00,385.58
1991-08-19 00:00:00,376.47
1991-08-20 00:00:00,379.43
1991-08-21 00:00:00,390.59
1991-08-22 00:00:00,391.33
1991-08-23 00:00:00,394.17
1991-08-26 00:00:00,393.85
1991-08-27 00:00:00,393.06
1991-08-28 00:00:00,396.64
1991-08-29 00:00:00,396.47
1991-08-30 00:00:00,395.43
1991-09-03 00:00:00,392.15
1991-09-04 00:00:00,389.97
1991-09-05 00:00:00,389.14
1991-09-06 00:00:00,389.1
1991-09-09 00:00:00,388.57
1991-09-10 00:00:00,384.56
1991-09-11 00:00:00,385.09
1991-09-12 00:00:00,387.34
1991-09-13 00:00:00,383.59
1991-09-16 00:00:00,385.78
1991-09-17 00:00:00,385.5
1991-09-18 00:00:00,386.94
1991-09-19 00:00:00,387.56
1991-09-20 00:00:00,387.92
1991-09-23 00:00:00,385.92
1991-09-24 00:00:00,387.71
1991-09-25 00:00:00,386.88
1991-09-26 00:00:00,386.49
1991-09-27 00:00:00,385.9
1991-09-30 00:00:00,387.86
1991-10-01 00:00:00,389.2
1991-10-02 00:00:00,388.26
1991-10-03 00:00:00,384.47
1991-10-04 00:00:00,381.25
1991-10-07 00:00:00,379.5
1991-10-08 00:00:00,380.67
1991-10-09 00:00:00,376.8
1991-10-10 00:00:00,380.55
1991-10-11 00:00:00,381.45
1991-10-14 00:00:00,386.47
1991-10-15 00:00:00,391.01
1991-10-16 00:00:00,392.8
1991-10-17 00:00:00,391.92
1991-10-18 00:00:00,392.5
1991-10-21 00:00:00,390.02
1991-10-22 00:00:00,387.83
1991-10-23 00:00:00,387.94
1991-10-24 00:00:00,385.07
1991-10-25 00:00:00,384.2
1991-10-28 00:00:00,389.52
1991-10-29 00:00:00,391.48
1991-10-30 00:00:00,392.96
1991-10-31 00:00:00,392.45
1991-11-01 00:00:00,391.32
1991-11-04 00:00:00,390.28
1991-11-05 00:00:00,388.71
1991-11-06 00:00:00,389.97
1991-11-07 00:00:00,393.72
1991-11-08 00:00:00,392.89
1991-11-11 00:00:00,393.12
1991-11-12 00:00:00,396.74
1991-11-13 00:00:00,397.41
1991-11-14 00:00:00,397.15
1991-11-15 00:00:00,382.62
1991-11-18 00:00:00,385.24
1991-11-19 00:00:00,379.42
1991-11-20 00:00:00,378.53
1991-11-21 00:00:00,380.06
1991-11-22 00:00:00,376.14
1991-11-25 00:00:00,375.34
1991-11-26 00:00:00,377.96
1991-11-27 00:00:00,376.55
1991-11-29 00:00:00,375.22
1991-12-02 00:00:00,381.4
1991-12-03 00:00:00,380.96
1991-12-04 00:00:00,380.07
1991-12-05 00:00:00,377.39
1991-12-06 00:00:00,379.1
1991-12-09 00:00:00,378.26
1991-12-10 00:00:00,377.9
1991-12-11 00:00:00,377.7
1991-12-12 00:00:00,381.55
1991-12-13 00:00:00,384.47
1991-12-16 00:00:00,384.46
1991-12-17 00:00:00,382.74
1991-12-18 00:00:00,383.48
1991-12-19 00:00:00,382.52
1991-12-20 00:00:00,387.04
1991-12-23 00:00:00,396.82
1991-12-24 00:00:00,399.33
1991-12-26 00:00:00,404.84
1991-12-27 00:00:00,406.46
1991-12-30 00:00:00,415.14
1991-12-31 00:00:00,417.09
1992-01-02 00:00:00,417.26
1992-01-03 00:00:00,419.34
1992-01-06 00:00:00,417.96
1992-01-07 00:00:00,417.4
1992-01-08 00:00:00,418.1
1992-01-09 00:00:00,417.61
1992-01-10 00:00:00,415.1
1992-01-13 00:00:00,414.34
1992-01-14 00:00:00,420.44
1992-01-15 00:00:00,420.77
1992-01-16 00:00:00,418.21
1992-01-17 00:00:00,418.86
1992-01-20 00:00:00,416.36
1992-01-21 00:00:00,412.64
1992-01-22 00:00:00,418.13
1992-01-23 00:00:00,414.96
1992-01-24 00:00:00,415.48
1992-01-27 00:00:00,414.99
1992-01-28 00:00:00,414.96
1992-01-29 00:00:00,410.34
1992-01-30 00:00:00,411.62
1992-01-31 00:00:00,408.78
1992-02-03 00:00:00,409.53
1992-02-04 00:00:00,413.85
1992-02-05 00:00:00,413.84
1992-02-06 00:00:00,413.82
1992-02-07 00:00:00,411.09
1992-02-10 00:00:00,413.77
1992-02-11 00:00:00,413.76
1992-02-12 00:00:00,417.13
1992-02-13 00:00:00,413.69
1992-02-14 00:00:00,412.48
1992-02-18 00:00:00,407.38
1992-02-19 00:00:00,408.26
1992-02-20 00:00:00,413.9
1992-02-21 00:00:00,411.43
1992-02-24 00:00:00,412.27
1992-02-25 00:00:00,410.45
1992-02-26 00:00:00,415.35
1992-02-27 00:00:00,413.86
1992-02-28 00:00:00,412.7
1992-03-02 00:00:00,412.45
1992-03-03 00:00:00,412.85
1992-03-04 00:00:00,409.33
1992-03-05 00:00:00,406.51
1992-03-06 00:00:00,404.44
1992-03-09 00:00:00,405.21
1992-03-10 00:00:00,406.89
1992-03-11 00:00:00,404.03
1992-03-12 00:00:00,403.89
1992-03-13 00:00:00,405.84
1992-03-16 00:00:00,406.39
1992-03-17 00:00:00,409.58
1992-03-18 00:00:00,409.15
1992-03-19 00:00:00,409.8
1992-03-20 00:00:00,411.3
1992-03-23 00:00:00,409.91
1992-03-24 00:00:00,408.88
1992-03-25 00:00:00,407.52
1992-03-26 00:00:00,407.86
1992-03-27 00:00:00,403.5
1992-03-30 00:00:00,403.0
1992-03-31 00:00:00,403.69
1992-04-01 00:00:00,404.23
1992-04-02 00:00:00,400.5
1992-04-03 00:00:00,401.55
1992-04-06 00:00:00,405.59
1992-04-07 00:00:00,398.06
1992-04-08 00:00:00,394.5
1992-04-09 00:00:00,400.64
1992-04-10 00:00:00,404.29
1992-04-13 00:00:00,406.08
1992-04-14 00:00:00,412.39
1992-04-15 00:00:00,416.28
1992-04-16 00:00:00,416.04
1992-04-20 00:00:00,410.18
1992-04-21 00:00:00,410.26
