,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
1990-02-01 00:00:00,4.98,7.86,2.87,16.79,4.27,0.51,6.04,328.79,6.12
1990-02-02 00:00:00,5.04,8.0,2.87,16.89,4.37,0.51,6.09,330.92,6.24
1990-02-05 00:00:00,5.07,8.18,2.87,17.32,4.34,0.51,6.05,331.85,6.25
1990-02-06 00:00:00,5.01,8.12,2.88,17.56,4.32,0.51,6.15,329.66,6.23
1990-02-07 00:00:00,5.04,7.77,2.91,17.93,4.38,0.51,6.17,333.75,6.33
1990-02-08 00:00:00,5.04,7.71,2.92,17.86,4.46,0.51,6.22,332.96,6.35
1990-02-09 00:00:00,5.06,8.0,2.94,17.82,4.49,0.52,6.24,333.62,6.37
1990-02-12 00:00:00,4.96,7.94,2.89,17.58,4.46,0.52,6.23,330.08,6.22
1990-02-13 00:00:00,4.91,8.06,2.88,17.95,4.43,0.52,6.09,331.02,6.23
1990-02-14 00:00:00,4.94,8.0,2.89,18.04,4.47,0.52,6.1,332.01,6.2
1990-02-15 00:00:00,4.99,8.0,2.91,18.04,4.54,0.53,6.15,334.89,6.4
1990-02-16 00:00:00,5.1,7.91,2.88,17.99,4.47,0.53,6.11,332.72,6.33
1990-02-20 00:00:00,5.04,7.85,2.83,17.88,4.39,0.55,6.01,327.99,6.25
1990-02-21 00:00:00,5.01,7.97,2.81,18.23,4.33,0.52,5.91,327.67,6.28
1990-02-22 00:00:00,5.06,7.73,2.82,17.95,4.28,0.53,5.87,325.7,6.22
1990-02-23 00:00:00,5.07,7.79,2.81,17.84,4.2,0.53,5.88,324.15,6.22
1990-02-26 00:00:00,5.13,7.97,2.84,18.08,4.3,0.54,5.93,328.67,6.37
1990-02-27 00:00:00,5.16,7.85,2.88,18.04,4.3,0.53,6.0,330.26,6.38
1990-02-28 00:00:00,5.22,7.97,2.89,18.06,4.32,0.54,6.06,331.89,6.2
1990-03-01 00:00:00,5.26,8.03,2.88,18.08,4.35,0.55,5.98,332.74,6.13
1990-03-02 00:00:00,5.41,7.91,2.92,18.23,4.43,0.57,5.89,335.54,6.17
1990-03-05 00:00:00,5.39,8.08,2.89,18.25,4.36,0.57,5.89,333.74,6.1
1990-03-06 00:00:00,5.4,8.26,2.92,18.39,4.45,0.57,5.97,337.93,6.22
1990-03-07 00:00:00,5.36,8.29,2.93,18.34,4.45,0.56,6.06,336.95,6.13
1990-03-08 00:00:00,5.34,8.61,2.95,18.6,4.5,0.58,6.18,340.27,6.17
1990-03-09 00:00:00,5.33,8.64,2.93,18.52,4.48,0.58,6.1,337.93,6.12
1990-03-12 00:00:00,5.34,8.58,2.92,18.73,4.46,0.59,6.22,338.67,6.13
1990-03-13 00:00:00,5.29,8.64,2.9,18.47,4.38,0.58,6.18,336.0,6.02
1990-03-14 00:00:00,5.28,8.67,2.95,18.47,4.44,0.59,6.15,336.87,6.13
1990-03-15 00:00:00,5.36,8.61,2.96,18.6,4.58,0.61,6.18,338.07,6.18
1990-03-16 00:00:00,5.44,9.43,2.99,18.88,4.61,0.62,6.26,341.91,6.27
1990-03-19 00:00:00,5.53,9.93,3.03,18.95,4.59,0.64,6.43,343.53,6.27
1990-03-20 00:00:00,5.46,9.7,3.01,18.78,4.54,0.62,6.4,341.57,6.17
1990-03-21 00:00:00,5.41,9.76,3.0,18.65,4.5,0.62,6.4,339.74,6.1
1990-03-22 00:00:00,5.34,9.55,2.96,18.52,4.42,0.61,6.31,335.69,6.07
1990-03-23 00:00:00,5.33,9.9,2.98,18.25,4.49,0.6,6.41,337.22,6.09
1990-03-26 00:00:00,5.32,9.9,2.99,18.1,4.5,0.61,6.51,337.63,6.04
1990-03-27 00:00:00,5.35,9.84,3.03,18.17,4.6,0.61,6.61,341.5,6.15
1990-03-28 00:00:00,5.41,9.67,3.03,18.41,4.6,0.61,6.65,342.0,6.1
1990-03-29 00:00:00,5.36,9.64,3.02,18.43,4.56,0.6,6.58,340.79,6.09
1990-03-30 00:00:00,5.26,9.43,3.01,18.45,4.52,0.6,6.52,339.94,6.1
1990-04-02 00:00:00,5.18,9.43,2.99,18.41,4.52,0.61,6.54,338.7,6.1
1990-04-03 00:00:00,5.17,9.78,3.04,18.54,4.64,0.63,6.66,343.64,6.22
1990-04-04 00:00:00,5.13,9.67,3.01,18.52,4.57,0.64,6.61,341.09,6.13
1990-04-05 00:00:00,5.15,9.43,3.01,18.45,4.6,0.62,6.64,340.73,6.1
1990-04-06 00:00:00,5.04,9.35,3.01,18.41,4.6,0.62,6.77,340.08,6.09
1990-04-09 00:00:00,5.06,9.64,3.02,18.34,4.68,0.62,6.92,341.37,6.07
1990-04-10 00:00:00,5.11,9.67,3.01,18.41,4.68,0.64,6.91,342.07,6.07
1990-04-11 00:00:00,5.2,9.96,3.03,18.49,4.69,0.66,6.95,341.92,6.02
