,AAPL,MSFT,XOM,SPX
2003-01-02 00:00:00,7.4,21.11,29.22,909.03
2003-01-03 00:00:00,7.45,21.14,29.24,908.59
2003-01-06 00:00:00,7.45,21.52,29.96,929.01
2003-01-07 00:00:00,7.43,21.93,28.95,922.93
2003-01-08 00:00:00,7.28,21.31,28.83,909.93
2003-01-09 00:00:00,7.34,21.93,29.44,927.57
2003-01-10 00:00:00,7.36,21.97,29.03,927.57
2003-01-13 00:00:00,7.32,22.16,28.91,926.26
2003-01-14 00:00:00,7.3,22.39,29.17,931.66
2003-01-15 00:00:00,7.22,22.11,28.77,918.22
2003-01-16 00:00:00,7.31,21.75,28.9,914.6
2003-01-17 00:00:00,7.05,20.22,28.6,901.78
2003-01-21 00:00:00,7.01,20.17,27.94,887.62
2003-01-22 00:00:00,6.94,20.04,27.58,878.36
2003-01-23 00:00:00,7.09,20.54,27.52,887.34
2003-01-24 00:00:00,6.9,19.59,26.93,861.4
2003-01-27 00:00:00,7.07,19.32,26.21,847.48
2003-01-28 00:00:00,7.29,19.18,26.9,858.54
2003-01-29 00:00:00,7.47,19.61,27.88,864.36
2003-01-30 00:00:00,7.16,18.95,27.37,844.61
2003-01-31 00:00:00,7.18,18.65,28.13,855.7
2003-02-03 00:00:00,7.33,19.08,28.52,860.32
2003-02-04 00:00:00,7.3,18.59,28.52,848.2
2003-02-05 00:00:00,7.22,18.45,28.11,843.59
2003-02-06 00:00:00,7.22,18.63,27.87,838.15
2003-02-07 00:00:00,7.07,18.3,27.66,829.69
2003-02-10 00:00:00,7.18,18.62,27.87,835.97
2003-02-11 00:00:00,7.18,18.25,27.67,829.2
2003-02-12 00:00:00,7.2,18.25,27.12,818.68
2003-02-13 00:00:00,7.27,18.46,27.47,817.37
2003-02-14 00:00:00,7.34,18.98,27.73,834.89
2003-02-18 00:00:00,7.64,19.61,27.99,851.17
2003-02-19 00:00:00,7.43,19.34,28.01,845.13
2003-02-20 00:00:00,7.39,19.03,27.89,837.1
2003-02-21 00:00:00,7.5,19.42,28.34,848.17
2003-02-24 00:00:00,7.37,18.98,28.19,832.58
2003-02-25 00:00:00,7.51,19.07,28.31,838.57
2003-02-26 00:00:00,7.25,18.61,28.06,827.55
2003-02-27 00:00:00,7.43,18.59,28.18,837.28
2003-02-28 00:00:00,7.51,18.68,28.21,841.15
2003-03-03 00:00:00,7.32,18.56,28.58,834.81
