,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
1990-02-01 00:00:00,2185600.0,4193200.0,14457600.0,6903600.0,5942400.0,89193600.0,2954400.0,154580000.0,2916400.0
1990-02-02 00:00:00,3103200.0,4248800.0,15302400.0,6064400.0,4732800.0,71395200.0,2424000.0,164400000.0,4250000.0
1990-02-05 00:00:00,1792800.0,3653200.0,9134400.0,5299200.0,3950400.0,59731200.0,2225400.0,130950000.0,5880800.0
1990-02-06 00:00:00,2205600.0,2640000.0,14389200.0,10808000.0,3761600.0,81964800.0,3270000.0,134070000.0,4750800.0
1990-02-07 00:00:00,3592800.0,11180800.0,18704400.0,12057600.0,5458400.0,134150400.0,4332600.0,186710000.0,4124800.0
1990-02-08 00:00:00,2777600.0,6680000.0,16513200.0,7932000.0,8669600.0,95225600.0,5133000.0,176240000.0,5651200.0
1990-02-09 00:00:00,1582400.0,6004400.0,13785600.0,5061600.0,3277600.0,62380800.0,2628600.0,146910000.0,3384800.0
1990-02-12 00:00:00,2137600.0,2695600.0,15488400.0,4766400.0,2564800.0,56086400.0,1996200.0,118390000.0,2698000.0
1990-02-13 00:00:00,5026400.0,3653600.0,20540400.0,7168400.0,3635200.0,58752000.0,4217400.0,144490000.0,3564800.0
1990-02-14 00:00:00,2588800.0,3448000.0,10269600.0,6006800.0,3706400.0,35868800.0,2660400.0,138530000.0,2830000.0
1990-02-15 00:00:00,4604000.0,3509200.0,12546000.0,5704000.0,3321600.0,89494400.0,2427600.0,174620000.0,4054400.0
1990-02-16 00:00:00,7072800.0,4556400.0,21541200.0,8805600.0,5688800.0,70876800.0,2871000.0,166840000.0,7154400.0
1990-02-20 00:00:00,2692800.0,4402400.0,22068000.0,5599600.0,4868800.0,132652800.0,2303400.0,147300000.0,4064400.0
1990-02-21 00:00:00,2503200.0,6283600.0,20756400.0,8096400.0,5700000.0,103347200.0,4482000.0,159240000.0,4263200.0
1990-02-22 00:00:00,5733600.0,6976800.0,17676000.0,9185600.0,3635200.0,60809600.0,4706400.0,184320000.0,5007600.0
1990-02-23 00:00:00,1409600.0,5375600.0,14785200.0,6251600.0,8396000.0,56851200.0,2362800.0,148490000.0,4040000.0
1990-02-26 00:00:00,1483200.0,2844800.0,16886400.0,5486000.0,4200000.0,69219200.0,4060200.0,148900000.0,4702000.0
1990-02-27 00:00:00,2268000.0,2642000.0,20508000.0,6890800.0,4824000.0,62019200.0,3374400.0,152590000.0,4600800.0
1990-02-28 00:00:00,3841600.0,3918800.0,21376800.0,5761200.0,6113600.0,39312000.0,4620600.0,184400000.0,10029200.0
1990-03-01 00:00:00,5676000.0,7283200.0,27291600.0,4490800.0,3041600.0,76867200.0,3512400.0,157930000.0,5619200.0
1990-03-02 00:00:00,4727200.0,3761200.0,20215200.0,5690000.0,4372800.0,100208000.0,11029800.0,164330000.0,5642000.0
1990-03-05 00:00:00,1647200.0,6537600.0,18685200.0,5509200.0,4567200.0,75526400.0,5386800.0,140110000.0,4534400.0
1990-03-06 00:00:00,2151200.0,5578800.0,18181200.0,5100800.0,4138400.0,68630400.0,4900800.0,143640000.0,5135600.0
1990-03-07 00:00:00,3192800.0,7301200.0,12364800.0,6158400.0,3178400.0,47606400.0,2929200.0,163580000.0,4808000.0
1990-03-08 00:00:00,2243200.0,8013600.0,16664400.0,6947600.0,3357600.0,88976000.0,4893600.0,170900000.0,3220000.0
1990-03-09 00:00:00,2673600.0,8248800.0,13256400.0,7003200.0,3113600.0,75744000.0,3667800.0,150410000.0,3911200.0
1990-03-12 00:00:00,2034400.0,5864400.0,12255600.0,6051200.0,2910400.0,68873600.0,2365800.0,114790000.0,2858000.0
1990-03-13 00:00:00,2265600.0,5321200.0,14433600.0,8300800.0,3255200.0,85203200.0,2217600.0,145440000.0,5596800.0
1990-03-14 00:00:00,4244800.0,3654800.0,15728400.0,4990800.0,4242400.0,130966400.0,3876000.0,145060000.0,5852000.0
1990-03-15 00:00:00,5807200.0,4302000.0,20035200.0,5328000.0,8232800.0,81676800.0,1514400.0,144410000.0,2989200.0
1990-03-16 00:00:00,9080800.0,23042400.0,35026800.0,10296400.0,13604800.0,118899200.0,4829400.0,222520000.0,9570800.0
1990-03-19 00:00:00,4671200.0,15433200.0,13922400.0,6428800.0,4127200.0,81171200.0,3322200.0,142300000.0,2996800.0
1990-03-20 00:00:00,5183200.0,13984400.0,18409200.0,7406400.0,4482400.0,92144000.0,5760600.0,177320000.0,5208000.0
1990-03-21 00:00:00,2344000.0,5463200.0,14967600.0,3389200.0,2240000.0,69840000.0,3134400.0,130990000.0,2519200.0
1990-03-22 00:00:00,3211200.0,8292400.0,18038400.0,4801200.0,4982400.0,92419200.0,3966000.0,175930000.0,3578800.0
1990-03-23 00:00:00,1309600.0,8155200.0,11347200.0,4597600.0,3156000.0,53596800.0,3261000.0,132070000.0,3731200.0
1990-03-26 00:00:00,2584000.0,4581200.0,9906000.0,3350000.0,3428800.0,55929600.0,3586800.0,116110000.0,2868000.0
1990-03-27 00:00:00,2124800.0,3033600.0,11997600.0,5292800.0,3638400.0,52515200.0,2196600.0,131610000.0,3569200.0
1990-03-28 00:00:00,2788800.0,3696800.0,11163600.0,5824400.0,2758400.0,99532800.0,2477400.0,142300000.0,2533200.0
1990-03-29 00:00:00,2294400.0,3472000.0,16818000.0,5656800.0,4102400.0,64784000.0,2488800.0,132190000.0,3326400.0
1990-03-30 00:00:00,1918400.0,7986400.0,17030400.0,5704000.0,3411200.0,36691200.0,2844600.0,139340000.0,3648000.0
1990-04-02 00:00:00,5729600.0,5332000.0,11740800.0,5193200.0,3218400.0,74057600.0,2460600.0,124360000.0,3373200.0
1990-04-03 00:00:00,6072800.0,5006400.0,13980000.0,4201600.0,4464000.0,84643200.0,4237800.0,154310000.0,4488000.0
1990-04-04 00:00:00,3520800.0,5363200.0,15663600.0,6864800.0,5148800.0,79644800.0,3068400.0,159530000.0,3124800.0
1990-04-05 00:00:00,3269600.0,3877600.0,10414800.0,3473600.0,5355200.0,66368000.0,3883200.0,144170000.0,3071200.0
1990-04-06 00:00:00,11216000.0,4235600.0,11516400.0,3009200.0,3028800.0,72876800.0,4411200.0,137490000.0,2701200.0
1990-04-09 00:00:00,2168000.0,3771200.0,7209600.0,3131200.0,4180000.0,31174400.0,4654200.0,114970000.0,3156800.0
1990-04-10 00:00:00,2153600.0,4695600.0,8175600.0,3739200.0,3117600.0,45187200.0,2980200.0,136020000.0,4416800.0
1990-04-11 00:00:00,5456000.0,7620000.0,13491600.0,2580800.0,3591200.0,70371200.0,3576000.0,141080000.0,4416400.0
1990-04-12 00:00:00,2724800.0,7566800.0,16324800.0,3686400.0,7607200.0,48252800.0,4008000.0,142470000.0,3892400.0
1990-04-16 00:00:00,4892000.0,8116400.0,16588800.0,16482800.0,4835200.0,39468800.0,3636000.0,142810000.0,4662000.0
1990-04-17 00:00:00,2610400.0,4683600.0,18181200.0,7657600.0,4071200.0,66777600.0,4425600.0,127990000.0,3542000.0
1990-04-18 00:00:00,2357600.0,6925200.0,16310400.0,6124000.0,5304000.0,97795200.0,3304200.0,147130000.0,3841200.0
1990-04-19 00:00:00,3618400.0,17215600.0,16311600.0,6110000.0,4696000.0,58003200.0,3908400.0,152930000.0,4433600.0
1990-04-20 00:00:00,4107200.0,11573600.0,23461200.0,6626000.0,8186400.0,44659200.0,3790200.0,174260000.0,7135200.0
1990-04-23 00:00:00,1717600.0,4597600.0,17616000.0,5400800.0,4050400.0,64876800.0,2682600.0,136150000.0,3003600.0
1990-04-24 00:00:00,2594400.0,10852000.0,13848000.0,5226400.0,4437600.0,47913600.0,2420400.0,137360000.0,2717600.0
1990-04-25 00:00:00,2077600.0,4743200.0,13722000.0,4693600.0,5289600.0,53868800.0,2001600.0,133480000.0,2608800.0
1990-04-26 00:00:00,2011200.0,5098000.0,13003200.0,5529200.0,4752800.0,46294400.0,2372400.0,141330000.0,2633200.0
1990-04-27 00:00:00,1923200.0,4178800.0,17870400.0,3926400.0,4352800.0,57123200.0,2106000.0,130630000.0,4398000.0
1990-04-30 00:00:00,2688800.0,4888800.0,12487200.0,6451600.0,5164000.0,51449600.0,3144600.0,122750000.0,3235600.0
1990-05-01 00:00:00,2838400.0,5845200.0,10017600.0,4664800.0,4497600.0,52473600.0,6626400.0,149020000.0,3128000.0
1990-05-02 00:00:00,2362400.0,4857600.0,9229200.0,4866400.0,4493600.0,33264000.0,3903000.0,141610000.0,3724800.0
1990-05-03 00:00:00,3365600.0,5950800.0,17920800.0,6674800.0,5136000.0,45891200.0,2848200.0,145560000.0,3918800.0
1990-05-04 00:00:00,2556800.0,6063200.0,11756400.0,6049200.0,4737600.0,47811200.0,3889200.0,140550000.0,2648000.0
1990-05-07 00:00:00,2956000.0,4866400.0,12811200.0,5220800.0,3360000.0,97347200.0,3499200.0,132760000.0,5889200.0
1990-05-08 00:00:00,3078400.0,4025600.0,14254800.0,4962000.0,3895200.0,50822400.0,2013600.0,144230000.0,3410800.0
1990-05-09 00:00:00,3811200.0,3491200.0,26126400.0,4860000.0,6984000.0,35164800.0,3303600.0,152220000.0,3859200.0
1990-05-10 00:00:00,2328000.0,6413600.0,31374000.0,7253200.0,5295200.0,48800000.0,3960000.0,158460000.0,4052400.0
1990-05-11 00:00:00,4471200.0,7691200.0,3067200.0,10189200.0,11158400.0,49164800.0,5478000.0,234040000.0,7393200.0
1990-05-14 00:00:00,4548800.0,8088000.0,27454800.0,9242400.0,10730400.0,47232000.0,5386200.0,225410000.0,7760800.0
1990-05-15 00:00:00,4096000.0,5343600.0,15062400.0,5944000.0,4573600.0,54118400.0,2728800.0,165730000.0,6212000.0
1990-05-16 00:00:00,2027200.0,3139200.0,17642400.0,7046000.0,5867200.0,38553600.0,3133200.0,159810000.0,5862400.0
1990-05-17 00:00:00,3970400.0,5488000.0,22114800.0,6090400.0,5209600.0,41731200.0,4522800.0,164770000.0,4817600.0
1990-05-18 00:00:00,3211200.0,9248000.0,25810800.0,7080800.0,7788800.0,101820800.0,3423600.0,162520000.0,7843600.0
1990-05-21 00:00:00,3136000.0,9382400.0,17463600.0,6942400.0,5282400.0,159593600.0,2689800.0,166280000.0,3660800.0
1990-05-22 00:00:00,3104000.0,10772000.0,18712800.0,7734400.0,8075200.0,142435200.0,3049200.0,203350000.0,5886400.0
